DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
10. Moore 0.0034570528823964558
11. Witherspoon 0.0027837340202839064
12. Rush 8.156323084483228E-4
13. Woolman 7.924141327467034E-4
14. Price 4.250003252879527E-4
15. Hopkins 2.2340383363676948E-4
16. Paine 2.0127508895481628E-4
17. Jefferson 1.9288468344230545E-4
18. Lafayette 1.6580813303791823E-4
19. Mackintosh 5.41155105659601E-5
20. Macauley 2.1266054149283696E-5
21. Ogilvie 8.959863503519572E-6
22. Cassandra 6.018531777592595E-6
23. Dickinson 4.099260247382442E-6
24. Benezet 2.7106574544383135E-6
25. Wollstonecraft 7.808268059682278E-7
26. Cartwright 3.83596930526255E-7
27. Hopkinson 4.959685554107844E-9


LETTER VII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER VII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Francis 0.6206960118572047
2. Witherspoon 0.19646609954927907
3. Wilkes 0.0864662342848041
4. Burke 0.0345092108685827
5. Wesley 0.01725344396770123
6. Rush 0.016008817334900928
7. Moore 0.008319358868066243
8. Priestley 0.007832506580374928
9. Franklin 0.006413361568304307
10. Burgh 0.001911201110478597
11. Lafayette 0.001908459532766737
12. Spence 0.0011882561738361522
13. Woolman 7.560782424918796E-5
14. Mackintosh 3.432950425337485E-5
15. Price 2.5421513017536742E-5
16. Cassandra 1.2258238268070486E-5
17. Cartwright 1.0105690658634939E-5
18. Adams 3.418670551358491E-6
19. Hopkins 3.2128506764049804E-6
20. Wollstonecraft 2.8592452121095855E-6
21. Dickinson 2.0376586843159886E-6
22. Paine 1.671963370687598E-6
23. Macauley 3.7167120582409495E-7
24. Jefferson 3.285811163352596E-7
25. Ogilvie 1.290534339413862E-7
26. Benezet 3.538219891878387E-8
27. Hopkinson 4.655332840575682E-9


Letter VIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter VIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Moore 0.8435888119071142
2. Paine 0.07509621683054288
3. Adams 0.03688110353447193
4. Witherspoon 0.02073103502056108
5. Wesley 0.011071245806975376
6. Rush 0.003735597370354836
7. Price 0.0035643869888709275
8. Wollstonecraft 0.0017093620032281461
9. Benezet 7.006364319871074E-4
10. Cartwright 5.071766243545676E-4
11. Francis 2.938395639056339E-4
12. Burgh 2.6399148100493883E-4
13. Hopkins 1.767772790371779E-4
14. Spence 1.5463747075507753E-4
15. Priestley 9.941944774676868E-5
16. Wilkes 7.815420681302235E-5
17. Hopkinson 6.161044762934834E-5
18. Mackintosh 4.376010308535091E-5
19. Ogilvie 2.8456971901973303E-5
20. Cassandra 8.294709177301558E-6
21. Lafayette 7.433292262554676E-6
22. Franklin 6.97910277720199E-6
23. Dickinson 5.397836658452111E-6
24. Woolman 2.6055269174746036E-6
25. Macauley 1.9573681293163648E-7
26. Burke 3.586033173131027E-8
27. Jefferson 1.3233696124867816E-8


LETTER XII and XIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER XII and XIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Moore 0.732319766462959
2. Spence 0.09032849535827031
3. Rush 0.05782411966245923
4. Lafayette 0.02364560278831725
5. Francis 0.022549298337087968
6. Wilkes 0.01627811803982629
7. Wesley 0.014467424356062544
8. Adams 0.012121046953106602
9. Witherspoon 0.011568652981784663
10. Priestley 0.010088398183255022
11. Woolman 0.0025784200279054727
12. Burgh 7.179807036457748E-4
13. Cartwright 6.155360298347389E-4
14. Burke 4.670210174081858E-4
15. Macauley 2.5345169959562375E-4
16. Benezet 2.102165591835563E-4
17. Franklin 1.9966066949267419E-4
18. Ogilvie 1.5125399761786517E-4
19. Hopkins 5.4505178704739314E-5
20. Wollstonecraft 4.048697986509377E-5
21. Hopkinson 3.9071611712856834E-5
22. Mackintosh 1.3893731007967497E-5
23. Cassandra 6.529085673938693E-6
24. Paine 5.871244456650727E-6
25. Price 3.837575838901687E-6
26. Dickinson 1.754046875780018E-7
27. Jefferson 1.0894589646009905E-7


Letter XIV and XV.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIV and XV.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA Multilayer Perceptron 
1. Wilkes 0.5433753263725348
2. Macauley 0.10736817109177331
3. Rush 0.10298831225833571
4. Moore 0.08916407161960045
5. Lafayette 0.06065970030257691
6. Spence 0.01822199245688268
7. Mackintosh 0.015386373137225707
8. Francis 0.011712480151055388
9. Priestley 0.01078301200756054
10. Witherspoon 0.006156280450101
11. Cartwright 0.005650757952716458
12. Ogilvie 0.004553074806839581
13. Wesley 0.004267309112140834
14. Adams 0.001454539491115231
