DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
9. Adams 0.05026455026455026
10. Price 0.047619047619047616
10. Spence 0.047619047619047616
12. Lafayette 0.03968253968253968
12. Priestley 0.03968253968253968
12. Moore 0.03968253968253968
15. Witherspoon 0.037037037037037035
15. Cartwright 0.037037037037037035
17. Jefferson 0.0291005291005291
18. Dickinson 0.026455026455026454
19. Benezet 0.023809523809523808
20. Macauley 0.018518518518518517
20. Cassandra 0.018518518518518517
22. Ogilvie 0.015873015873015872
23. Wollstonecraft 0.010582010582010581
24. Rush 0.007936507936507936
24. Mackintosh 0.007936507936507936
24. Woolman 0.007936507936507936
24. Hopkins 0.007936507936507936


LETTER VII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER VII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Francis 0.07142857142857142
2. Burke 0.06878306878306878
3. Lafayette 0.06613756613756613
4. Wilkes 0.06084656084656084
5. Witherspoon 0.0582010582010582
5. Moore 0.0582010582010582
5. Wesley 0.0582010582010582
8. Priestley 0.05555555555555555
9. Cartwright 0.05026455026455026
10. Wollstonecraft 0.047619047619047616
11. Franklin 0.04497354497354497
12. Burgh 0.03968253968253968
13. Price 0.037037037037037035
14. Spence 0.03439153439153439
14. Hopkinson 0.03439153439153439
16. Paine 0.031746031746031744
16. Adams 0.031746031746031744
18. Dickinson 0.0291005291005291
19. Jefferson 0.026455026455026454
20. Rush 0.021164021164021163
21. Benezet 0.015873015873015872
21. Cassandra 0.015873015873015872
23. Mackintosh 0.013227513227513227
24. Macauley 0.010582010582010581
24. Hopkins 0.010582010582010581
26. Woolman 0.005291005291005291
27. Ogilvie 0.0026455026455026454


Letter VIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter VIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Witherspoon 0.06878306878306878
2. Paine 0.06613756613756613
2. Cartwright 0.06613756613756613
4. Wesley 0.06084656084656084
5. Priestley 0.0582010582010582
5. Moore 0.0582010582010582
7. Wollstonecraft 0.05555555555555555
8. Wilkes 0.05291005291005291
9. Price 0.05026455026455026
9. Spence 0.05026455026455026
11. Adams 0.047619047619047616
12. Benezet 0.04497354497354497
13. Franklin 0.03968253968253968
14. Burgh 0.03439153439153439
15. Francis 0.031746031746031744
15. Hopkinson 0.031746031746031744
15. Dickinson 0.031746031746031744
18. Burke 0.0291005291005291
19. Ogilvie 0.026455026455026454
20. Lafayette 0.015873015873015872
20. Macauley 0.015873015873015872
20. Jefferson 0.015873015873015872
20. Hopkins 0.015873015873015872
24. Rush 0.013227513227513227
25. Mackintosh 0.010582010582010581
26. Cassandra 0.005291005291005291
27. Woolman 0.0026455026455026454


LETTER XII and XIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER XII and XIII.txt
Canonicizers: none
EventDriver: Vowel-initial Words 
Analysis: WEKA SMO r : Polynomial, c : 1, e : 1, f : false, v : -1, g : 0.01, n : normalize, o : false 
1. Burke 0.06878306878306878
1. Hopkinson 0.06878306878306878
3. Wilkes 0.06613756613756613
4. Moore 0.06084656084656084
5. Spence 0.0582010582010582
6. Lafayette 0.05291005291005291
7. Paine 0.05026455026455026
7. Adams 0.05026455026455026
7. Cartwright 0.05026455026455026
10. Witherspoon 0.047619047619047616
11. Francis 0.04497354497354497
11. Franklin 0.04497354497354497
13. Wesley 0.042328042328042326
14. Benezet 0.03968253968253968
14. Priestley 0.03968253968253968
14. Burgh 0.03968253968253968
17. Macauley 0.0291005291005291
18. Rush 0.026455026455026454
19. Ogilvie 0.023809523809523808
20. Jefferson 0.018518518518518517
20. Dickinson 0.018518518518518517
22. Hopkins 0.013227513227513227
22. Cassandra 0.013227513227513227
24. Price 0.010582010582010581
25. Wollstonecraft 0.007936507936507936
25. Woolman 0.007936507936507936
27. Mackintosh 0.005291005291005291


