DEDICATION TO THE ENGLISH NATION.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/DEDICATION TO THE ENGLISH NATION.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
9. Wesley 0.0010030054477612302
10. Adams 7.082294609979102E-4
11. Paine 4.335733908326337E-4
12. Cassandra 3.6376091869975307E-4
13. Jefferson 3.27101328810025E-4
14. Moore 2.1009207321516998E-4
15. Macauley 1.746351209499199E-4
16. Mackintosh 9.693758872570355E-5
17. Witherspoon 8.664966504902451E-5
18. Woolman 4.801905094291268E-5
19. Hopkins 9.973491007808704E-6
20. Ogilvie 8.548337092523019E-6
21. Hopkinson 8.220926063955452E-6
22. Priestley 5.3502427508155524E-6
23. Wilkes 2.35004982961014E-6
24. Benezet 9.122710727618508E-7
25. Price 2.9922268803981E-7
26. Dickinson 1.747591319342816E-8
27. Cartwright 1.4075606621714737E-8


LETTER VII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER VII.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Burgh 0.4721540061347509
2. Burke 0.2883927968499063
3. Francis 0.19593933848855483
4. Rush 0.018160327946287816
5. Lafayette 0.00728904222799524
6. Adams 0.005055103304478484
7. Wilkes 0.004684869790691719
8. Paine 0.004506441399021967
9. Wesley 0.0011240373934200685
10. Spence 3.9627433340916915E-4
11. Priestley 2.5134123984365175E-4
12. Witherspoon 2.2763272846965398E-4
13. Moore 1.3172306721714796E-4
14. Mackintosh 1.2203728138716517E-4
15. Cassandra 3.60640175840388E-5
16. Hopkins 3.492468601556004E-5
17. Woolman 3.117605166982123E-5
18. Price 2.9164088830418028E-5
19. Jefferson 2.6708158394217158E-5
20. Macauley 2.5713592506662744E-5
21. Franklin 1.5280787255314754E-5
22. Wollstonecraft 1.1799019036553766E-5
23. Benezet 1.8272652627874768E-6
24. Cartwright 1.5398930311120179E-6
25. Ogilvie 1.1117977936632952E-6
26. Hopkinson 5.398250256432401E-8
27. Dickinson 2.2131176572446033E-8


Letter VIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter VIII.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Witherspoon 0.5818244344577365
2. Price 0.2386334503582353
3. Franklin 0.056908668946361325
4. Wollstonecraft 0.04143563907918881
5. Paine 0.030035953322802348
6. Jefferson 0.01984606657005877
7. Mackintosh 0.0116457398958651
8. Lafayette 0.011006573951436097
9. Burgh 0.006082926679512614
10. Wesley 7.644685583013593E-4
11. Adams 1.7853905323231801E-4
12. Dickinson 1.567372549192712E-4
13. Rush 1.5504527224488956E-4
14. Francis 1.2414319538814068E-4
15. Moore 6.382422436673119E-5
16. Hopkins 5.910010276828498E-5
17. Benezet 9.371854731794638E-6
18. Macauley 9.00619497492865E-6
19. Spence 8.704355353638808E-6
20. Wilkes 8.533606891303818E-6
21. Priestley 6.554983083498418E-6
22. Cassandra 2.9601495524351187E-6
23. Ogilvie 1.4415458741223387E-6
24. Cartwright 1.3240074790659511E-6
25. Woolman 8.405860976656852E-8
26. Burke 4.390791000563082E-8
27. Hopkinson 3.925610619043466E-8


LETTER XII and XIII.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/LETTER XII and XIII.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Adams 0.3779647407845741
2. Paine 0.3169386369665301
3. Wilkes 0.18410014176919226
4. Burgh 0.05008544235369654
5. Francis 0.037762836075994274
6. Moore 0.008388511772903168
7. Burke 0.006349002872566373
8. Mackintosh 0.004698490307931173
9. Lafayette 0.004337659945014567
10. Rush 0.0038291509979755025
11. Macauley 8.893538706206858E-4
12. Spence 4.982860075607692E-4
13. Wesley 2.7951042480892123E-4
14. Witherspoon 2.1493485319091723E-4
15. Wollstonecraft 1.4905988891034341E-4
16. Cassandra 8.715136767124122E-5
17. Hopkins 6.379546397642401E-5
18. Woolman 5.8860314571235375E-5
19. Hopkinson 5.441628537991102E-5
20. Priestley 4.590789211651222E-5
21. Benezet 2.7537370624483717E-5
22. Price 1.1454854267351039E-5
23. Ogilvie 1.0389837218002462E-5
24. Cartwright 6.364065892766873E-6
25. Jefferson 3.5305237936652564E-6
26. Franklin 2.0335082808842388E-7
27. Dickinson 7.66901853773271E-9


Letter XIV and XV.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIV and XV.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Mackintosh 0.7790245405072124
2. Wilkes 0.07901340984295455
3. Burgh 0.07658017564410886
4. Paine 0.03296187122663367
5. Adams 0.007526787748005707
6. Moore 0.005603729767323472
7. Burke 0.004402951995954183
8. Priestley 0.004027194412991268
9. Francis 0.0023272792667692046
10. Macauley 0.0018256674837278618
11. Ogilvie 0.0015450851749341543
12. Lafayette 9.322878500353821E-4
13. Hopkinson 2.3196995588486201E-4
14. Wollstonecraft 2.296322637290646E-4
15. Rush 2.2232544983851493E-4
16. Price 2.0812832861805277E-4
17. Jefferson 2.020235005919804E-4
18. Spence 1.8882422715812253E-4
19. Wesley 2.736522160232619E-5
20. Cassandra 1.812366666930633E-5
21. Hopkins 9.518981422336431E-6
22. Benezet 3.937071736946959E-6
23. Witherspoon 3.2716298836182377E-6
24. Cartwright 1.7512593264449567E-6
25. Dickinson 8.275595597063667E-7
26. Woolman 2.1821141087184024E-7
27. Franklin 6.710079817433146E-8


Letter XIX.txt /Users/Sean/Documents/College/Research/Thomas Paine/Test Files/Junius/Letter XIX.txt
Canonicizers: none
EventDriver: Lexical Frequencies 
Analysis: WEKA Multilayer Perceptron 
1. Burgh 0.5486389331518692
2. Mackintosh 0.35743198824789135
3. Adams 0.07833840479572815
4. Priestley 0.009404121277592563
5. Witherspoon 0.0023173760630265656
6. Lafayette 9.591073564876189E-4
7. Ogilvie 5.293163300024606E-4
8. Spence 3.885844666248749E-4
9. Rush 3.4030103246511105E-4
10. Wilkes 2.3159292662748698E-4
11. Burke 2.0897190755694042E-4
12. Franklin 1.341527070822252E-4
13. Wollstonecraft 1.0358757829428192E-4
14. Price 4.9799946006180444E-5
15. Paine 3.5871659302261144E-5
16. Macauley 3.253775333287845E-5
17. Moore 3.0288437747714208E-5
18. Francis 1.114144296175494E-5
19. Cartwright 8.601452318720242E-6
